id;nombre;cantidad;descripcion;categoria;imagen;imagen_content_type
1;actitud;Dinánmico;complejidad Buckinghamshire Morado;online;../fake-data/blob/hipster.png;image/png
2;GB Rústico SDD;deposit;sensor Dinánmico;Gorro Canada;../fake-data/blob/hipster.png;image/png
3;Datos arquitectura repurpose;capacidad synthesize;portals Sum;Ladrillo;../fake-data/blob/hipster.png;image/png
4;ROI payment transition;Canarias bluetooth;Plástico innovative Seguro;Inversor metódica;../fake-data/blob/hipster.png;image/png
5;Ucrania de;circuito;Guapa;neural Bélgica Analista;../fake-data/blob/hipster.png;image/png
6;synergies vertical world-class;Kenia;Franc;Navarra terciaria generating;../fake-data/blob/hipster.png;image/png
7;Amarillo plug-and-play;Madera;previsión Personal;red withdrawal;../fake-data/blob/hipster.png;image/png
8;matrix;mindshare;Finlandia Account;Gerente;../fake-data/blob/hipster.png;image/png
9;Masía data-warehouse circuito;architect Corporativo;Equilibrado;invoice Informática;../fake-data/blob/hipster.png;image/png
10;Andalucía Colonia;radical bandwidth;bluetooth;Auto orchestrate payment;../fake-data/blob/hipster.png;image/png
